NIFTY 500,NIFTY 50,SECURITIES IN F&O,NIFTY ALPHA 50,NIFTY NEXT 50,NIFTY MIDCAP 50,NIFTY AUTO,NIFTY BANK,NIFTY ENERGY,NIFTY FIN SERVICE,NIFTY FMCG,NIFTY IT,NIFTY MEDIA,NIFTY METAL,NIFTY PHARMA,NIFTY PSU BANK,NIFTY PVT BANK,NIFTY REALTY,NIFTY MIDCAP 100,NIFTY MIDCAP 150,NIFTY SMALLCAP 50,NIFTY SMALLCAP 100,NIFTY SMALLCAP 250,NIFTY MIDSMALLCAP 400,NIFTY 100,NIFTY 200,NIFTY FINANCIAL SERVICES 25/50,NIFTY COMMODITIES,NIFTY INDIA CONSUMPTION,NIFTY CPSE,NIFTY INFRASTRUCTURE,NIFTY MNC,NIFTY GROWTH SECTORS 15,NIFTY PSE,NIFTY SERVICES SECTOR,NIFTY100 LIQUID 15,NIFTY MIDCAP LIQUID 15,NIFTY DIVIDEND OPPORTUNITIES 50,NIFTY50 VALUE 20,NIFTY100 QUALITY 30,NIFTY50 EQUAL WEIGHT,NIFTY100 EQUAL WEIGHT,NIFTY100 LOW VOLATILITY 30,NIFTY200 QUALITY 30,NIFTY ALPHA LOW-VOLATILITY 30,NIFTY200 MOMENTUM 30
360ONE,ADANIENT,AARTIIND,AEGISLOG,ABB,ALKEM,ASHOKLEY,AUBANK,ABB,AXISBANK,BRITANNIA,COFORGE,DBCORP,ADANIENT,ABBOTINDIA,BANKBARODA,AXISBANK,ANANTRAJ,ABCAPITAL,360ONE,AARTIIND,AADHARHFC,AADHARHFC,360ONE,ABB,ABB,AXISBANK,ADANIENSOL,ADANIPOWER,BEL,ADANIGREEN,3MINDIA,APOLLOHOSP,BEL,ADANIPORTS,ADANIENT,ASHOKLEY,ASHOKLEY,BAJAJ-AUTO,ABB,ADANIENT,ABB,APOLLOHOSP,ASIANPAINT,APOLLOHOSP,BEL
3MINDIA,ADANIPORTS,ABB,AMBER,ADANIENSOL,ASHOKLEY,BAJAJ-AUTO,AXISBANK,ADANIENSOL,BAJAJFINSV,COLPAL,HCLTECH,DISHTV,APLAPOLLO,AJANTPHARM,BANKINDIA,BANDHANBNK,BRIGADE,ABFRL,3MINDIA,ABREL,AARTIIND,AARTIIND,3MINDIA,ADANIENSOL,ABCAPITAL,BAJAJFINSV,ADANIGREEN,APOLLOHOSP,COALINDIA,ADANIPORTS,ABB,CIPLA,BHEL,APOLLOHOSP,BAJFINANCE,BHARATFORG,BANKBARODA,CIPLA,ASIANPAINT,ADANIPORTS,ADANIENSOL,ASIANPAINT,BAJAJ-AUTO,BAJAJ-AUTO,BHARTIARTL
AADHARHFC,APOLLOHOSP,ABCAPITAL,BAJFINANCE,ADANIGREEN,ASTRAL,BALKRISIND,BANKBARODA,ADANIGREEN,BAJFINANCE,DABUR,INFY,HATHWAY,HINDALCO,ALKEM,CANBK,FEDERALBNK,DLF,ACC,ABBOTINDIA,AEGISLOG,ABREL,AAVAS,AADHARHFC,ADANIENT,ABFRL,BAJFINANCE,ADANIPOWER,ASIANPAINT,COCHINSHIP,AMBUJACEM,ABBOTINDIA,DIVISLAB,BPCL,AXISBANK,BHARTIARTL,BSE,BPCL,COALINDIA,BAJAJ-AUTO,APOLLOHOSP,ADANIENT,BAJAJ-AUTO,BEL,BHARTIARTL,BOSCHLTD
AARTIIND,ASIANPAINT,ABFRL,BDL,ADANIPOWER,AUBANK,BHARATFORG,CANBK,ADANIPOWER,CHOLAFIN,EMAMILTD,LTIM,NAZARA,HINDCOPPER,AUROPHARMA,CENTRALBK,HDFCBANK,GODREJPROP,ALKEM,ABCAPITAL,AFFLE,ACE,ABREL,AARTIIND,ADANIGREEN,ACC,CHOLAFIN,AMBUJACEM,BAJAJ-AUTO,NBCC,APOLLOHOSP,AMBUJACEM,DIXON,COALINDIA,BAJAJFINSV,COALINDIA,COFORGE,BRITANNIA,DRREDDY,BEL,ASIANPAINT,ADANIGREEN,BAJAJFINSV,BPCL,BOSCHLTD,BSE
AAVAS,AXISBANK,ACC,BEL,AMBUJACEM,AUROPHARMA,BOSCHLTD,FEDERALBNK,AEGISLOG,HDFCAMC,GODREJCP,MPHASIS,NETWORK18,HINDZINC,BIOCON,INDIANB,ICICIBANK,LODHA,APLAPOLLO,ABFRL,AMBER,AEGISLOG,ABSLAMC,AAVAS,ADANIPORTS,ADANIENSOL,HDFCAMC,APLAPOLLO,BHARTIARTL,NHPC,ASHOKLEY,ASHOKLEY,EICHERMOT,CONCOR,BAJFINANCE,INDUSINDBK,CUMMINSIND,CANBK,GRASIM,BOSCHLTD,AXISBANK,ADANIPORTS,BHARTIARTL,BRITANNIA,BRITANNIA,COFORGE
ABB,BAJAJ-AUTO,ADANIENSOL,BHARTIARTL,BAJAJHFL,BHARATFORG,EICHERMOT,HDFCBANK,ATGL,HDFCBANK,HINDUNILVR,NIFTY IT,NIFTY MEDIA,JINDALSTEL,CIPLA,IOB,IDFCFIRSTB,NIFTY REALTY,APOLLOTYRE,ACC,ANGELONE,AFCONS,ACE,ABBOTINDIA,ADANIPOWER,ADANIENT,HDFCBANK,BPCL,BRITANNIA,NIFTY CPSE,BHARATFORG,BOSCHLTD,GODREJCP,GAIL,BHARTIARTL,KOTAKBANK,DIXON,CASTROLIND,HCLTECH,BRITANNIA,BAJAJ-AUTO,ADANIPOWER,BOSCHLTD,COALINDIA,COLPAL,DIVISLAB
ABBOTINDIA,BAJAJFINSV,ADANIENT,BLUESTARCO,BAJAJHLDNG,BHEL,EXIDEIND,ICICIBANK,BHEL,HDFCLIFE,ITC,OFSS,PVRINOX,JSL,DIVISLAB,MAHABANK,INDUSINDBK,OBEROIRLTY,ASHOKLEY,AIAENG,ARE&M,AFFLE,ACMESOLAR,ABCAPITAL,AMBUJACEM,ADANIGREEN,HDFCLIFE,COALINDIA,COLPAL,NLCINDIA,BHARTIARTL,BRITANNIA,HEROMOTOCO,HAL,DMART,MARUTI,GODREJPROP,CESC,HEROMOTOCO,COALINDIA,BAJAJFINSV,AMBUJACEM,BRITANNIA,COLPAL,CUMMINSIND,DIXON
ABCAPITAL,BAJFINANCE,ADANIGREEN,BSE,BANKBARODA,BSE,HEROMOTOCO,IDFCFIRSTB,BPCL,ICICIBANK,MARICO,PERSISTENT,SAREGAMA,JSWSTEEL,DRREDDY,NIFTY PSU BANK,KOTAKBANK,PHOENIXLTD,ASTRAL,AJANTPHARM,ASTERDM,AMBER,AEGISLOG,ABFRL,APOLLOHOSP,ADANIPORTS,ICICIBANK,GRASIM,DLF,NTPC,BPCL,CASTROLIND,HINDUNILVR,HINDPETRO,GAIL,NIFTY100 LIQUID 15,HDFCAMC,COALINDIA,HINDALCO,DABUR,BAJFINANCE,APOLLOHOSP,CIPLA,CUMMINSIND,DIVISLAB,FEDERALBNK
ABFRL,BEL,ADANIPORTS,CDSL,BOSCHLTD,COFORGE,M&M,INDUSINDBK,CASTROLIND,ICICIGI,NESTLEIND,TCS,SUNTV,LLOYDSME,GLAND,PNB,NIFTY PVT BANK,PRESTIGE,ATGL,ALKEM,BRIGADE,ANANTRAJ,AFCONS,ABREL,ASIANPAINT,ADANIPOWER,ICICIGI,HINDALCO,DMART,OIL,CGPOWER,COLPAL,INFY,IOC,HCLTECH,POWERGRID,IDFCFIRSTB,COLPAL,ICICIBANK,DIVISLAB,BEL,ASIANPAINT,DABUR,DABUR,DRREDDY,HCLTECH
